admin0,crop,hectares (ha),production (tonnes),yield(tonnes/ha)
United States,winter wheat,80936,342913.1287,4.236843045
United States,winter wheat,190199.6,972131.5045,5.111112245
United States,winter wheat,2023.4,8164.598302,4.035088614
United States,winter wheat,12140.4,40006.53168,3.295322368
United States,winter wheat,210433.6,834966.253,3.967837137
United States,winter wheat,635347.6,2136403.222,3.362573845
United States,winter wheat,408726.8,1346886.567,3.295322368
United States,winter wheat,2023.4,16329.1966,8.070177228
United States,winter wheat,6070.2,25310.25474,4.169591568
United States,winter wheat,42491.4,42864.14108,1.008772154
United States,winter wheat,38444.6,178396.4729,4.640351906
United States,winter wheat,149731.6,573971.2606,3.833334183
United States,winter wheat,28327.6,81918.13629,2.891813507
United States,winter wheat,182106,918517.3089,5.043860768
United States,winter wheat,1011700,1905072.937,1.883041353
United States,winter wheat,281252.6,1267281.733,4.505848952
United States,winter wheat,58678.6,256504.4633,4.371345999
United States,winter wheat,26304.2,95525.80013,3.631579753
United States,winter wheat,267088.8,862181.5807,3.228070891
United States,winter wheat,115333.8,504163.9451,4.371345999
United States,winter wheat,708190,1524058.35,2.152047261
United States,winter wheat,38039.92,133028.5217,3.497076799
United States,winter wheat,62725.4,253102.5474,4.035088614
United States,winter wheat,667722,3412802.09,5.111112245
United States,winter wheat,1214.04,3755.715219,3.093567937
United States,winter wheat,80936,386457.653,4.77485486
United States,winter wheat,46538.2,106411.9312,2.286550215
Sweden,winter wheat,115333.8,1399900,4.79
Sweden,spring wheat,115333.8,220400,2.76
